 Time,Acc_x,Acc_y,Acc_z,HRM_b,HRM_c,HRM_r,HRM_f,PPG_r,PPG_o,BTHRM
 1654530054660.90966796875,,,,,,2398,-21090,1199,0,
 1654530054698.080078125,-0.0732421875,0.30505371093,-0.96069335937,,,,,,,,
 1654530054702.474609375,,,,,,2414,-25647,1207,0,
 1654530054738.66845703125,,,,,,2406,-28833,1203,0,
 1654530054777.27319335937,-0.07373046875,0.30590820312,-0.96606445312,,,,,,,,
 1654530054782.82739257812,,,,,,2398,-30329,1199,0,
 1654530054819.41796875,,,,,,2366,-30735,1183,0,
 1654530054857.1376953125,-0.06774902343,0.30310058593,-0.9716796875,,,,,,,,
 1654530054862.7529296875,,,,,,2366,-30043,1183,0,
 1654530054899.49609375,,,,,,2366,-28701,1183,0,
 1654530054931.99731445312,-0.0732421875,0.30187988281,-0.97534179687,,,,,,,,
 1654530054942.98364257812,,,,,,2350,-26560,1175,0,
 1654530055012.10595703125,-0.07678222656,0.30126953125,-0.97705078125,,,,,,,,
 1654530055022.787109375,,,,,,2294,-24446,1147,0,
 1654530055060.78149414062,,,,,,2270,-22117,1135,0,
 1654530055092.15356445312,-0.04516601562,0.32177734375,-0.91625976562,,,,,,,,
 1654530055102.7431640625,,,,,,2254,-19858,1127,0,
 1654530055141.13427734375,,,,,,2334,-17497,1167,0,
 1654530055171.95703125,-0.03771972656,0.29602050781,-0.87866210937,,,,,,,,
 1654530055221.67016601562,,,,,,2622,-13351,1311,0,
 1654530055252.06567382812,-0.03527832031,0.26000976562,-0.91943359375,,,,,,,,
 1654530055262.77734375,,,,,,2678,-12181,1339,0,
 1654530055302.66381835937,,,,,,2702,-10479,1351,0,
 1654530055332.11328125,-0.00610351562,0.33801269531,-0.8466796875,,,,,,,,
 1654530055342.58081054687,,,,,,2686,-8422,1343,0,
 1654530055382.95556640625,,,,,,2670,-6247,1335,0,
 1654530055411.947265625,-0.04455566406,0.3681640625,-0.79821777343,,,,,,,,
 1654530055422.87255859375,,,,,,2670,-4264,1335,0,
 1654530055491.35400390625,,,,,,2650,-2737,1325,0,
 1654530055507.00952148437,,,,,,2634,-1791,1317,0,
 1654530055544.08837890625,,,,,,2622,-1437,1311,0,
 1654530055571.9814453125,-0.03881835937,0.38586425781,-0.92419433593,,,,,,,,
 1654530055584.46313476562,,,,,,2598,-1648,1299,0,
 1654530055624.349609375,,,,,,2542,-2285,1271,0,
 1654530055651.75439453125,-0.02124023437,0.42797851562,-0.84484863281,,,,,,,,
 1654530055664.54125976562,,,,,,2542,-3111,1271,0,
 1654530055705.06860351562,,,,,,2518,-3888,1259,0,
 1654530055733.05322265625,-0.05993652343,0.42370605468,-0.93798828125,,,,,,,,
 1654530055745.3212890625,,,,,,2486,-4336,1243,0,
 1654530055785.45190429687,,,,,,2590,-4175,1295,0,
 1654530055811.94116210937,-0.05297851562,0.35705566406,-0.9658203125,,,,,,,,
 1654530055825.58251953125,,,,,,2750,-3256,1375,0,
 1654530055865.98779296875,,,,,,2862,-1610,1431,0,
 1654530055891.71411132812,-0.04553222656,0.30712890625,-0.91735839843,,,,,,,,
 1654530055906.14892578125,,,,,,2910,692,1455,0,
 1654530055946.52368164062,,,,,,2910,3415,1455,0,
 1654530055972.03637695312,-0.09838867187,0.33508300781,-0.88427734375,,,,,,,,
 1654530055987.08154296875,,,,,,2894,6260,1447,0,
 1654530056027.12060546875,,,,,,2878,8831,1439,0,
 1654530056052.05346679687,-0.14697265625,0.31469726562,-0.88354492187,,,,,,,,
 1654530056067.55639648437,,,,,,2870,10787,1435,0,
 1654530056107.65649414062,,,,,,2838,11835,1419,0,
 1654530056132.10107421875,-0.10815429687,0.23522949218,-0.91442871093,,,,,,,,
 1654530056148.09228515625,,,,,,2814,11836,1407,0,
 1654530056188.22290039062,,,,,,2750,10690,1375,0,
 1654530056211.99609375,-0.07751464843,0.20556640625,-0.91735839843,,,,,,,,
 1654530056228.78076171875,,,,,,2718,8499,1359,0,
 1654530056268.81982421875,,,,,,2646,5502,1323,0,
 1654530056292.98974609375,-0.09143066406,0.25952148437,-0.94482421875,,,,,,,,
 1654530056309.34716796875,,,,,,2574,2005,1287,0,
 1654530056349.35571289062,,,,,,2518,-1544,1259,0,
 1654530056371.81665039062,-0.08435058593,0.28356933593,-0.96166992187,,,,,,,,
 1654530056390.24926757812,,,,,,2454,-4729,1227,0,
 1654530056429.92211914062,,,,,,2398,-7215,1199,0,
 1654530056495.22973632812,-0.07885742187,0.2958984375,-0.96850585937,,,,,,,,
 1654530056499.28857421875,,,,,,2382,-8728,1191,0,
 1654530056531.78979492187,-0.07434082031,0.30261230468,-0.98217773437,,,,,,,,
 1654530056551.01586914062,,,,,,2622,-8344,1311,0,
 1654530056591.60424804687,,,,,,2654,-6638,1327,0,
 1654530056611.7763671875,-0.07214355468,0.3037109375,-0.98645019531,,,,,,,,
 1654530056631.58227539062,,,,,,2622,-4301,1311,0,
 1654530056671.62133789062,,,,,,2606,-1717,1303,0,
 1654530056692.03759765625,-0.06799316406,0.30419921875,-0.98120117187,,,,,,,,
 1654530056712.27075195312,,,,,,2542,683,1271,0,
 1654530056752.1572265625,,,,,,2510,2525,1255,0,
 1654530056771.9326171875,-0.06506347656,0.30139160156,-0.98388671875,,,,,,,,
 1654530056792.71508789062,,,,,,2458,3514,1229,0,
 1654530056833.30346679687,,,,,,2422,3506,1211,0,
 1654530056837.8505859375,,,,48,0,,,,
 1654530056851.888671875,-0.06469726562,0.30725097656,-0.98107910156,,,,,,,,
 1654530056873.18994140625,,,,,,2382,2448,1191,0,
 1654530056913.47314453125,,,,,,2318,455,1159,0,
 1654530056931.99731445312,-0.06970214843,0.31103515625,-0.97241210937,,,,,,,,
 1654530056953.3291015625,,,,,,2286,-2203,1143,0,
 1654530056993.8564453125,,,,,,2222,-5189,1111,0,
 1654530057011.89233398437,-0.07421875,0.30871582031,-0.96105957031,,,,,,,,
 1654530057034.56689453125,,,,,,2158,-8094,1079,0,
 1654530057074.4228515625,,,,,,2126,-10560,1063,0,
 1654530057091.7568359375,-0.0751953125,0.30651855468,-0.95471191406,,,,,,,,
 1654530057114.9501953125,,,,,,2118,-12300,1059,0,
 1654530057154.95874023437,,,,,,2238,-13085,1119,0,
 1654530057171.95703125,-0.07775878906,0.30346679687,-0.95910644531,,,,,,,,
 1654530057195.73022460937,,,,,,2362,-12832,1181,0,
 1654530057235.52514648437,,,,,,2422,-11583,1211,0,
 1654530057251.60791015625,-0.07373046875,0.30725097656,-0.96520996093,,,,,,,,
 1654530057275.80834960937,,,,,,2454,-9542,1227,0,
 1654530057316.06103515625,,,,,,2430,-7013,1215,0,
 1654530057331.71655273437,-0.07080078125,0.31103515625,-0.97131347656,,,,,,,,
 1654530057356.83251953125,,,,,,2390,-4357,1195,0,
 1654530057396.62744140625,,,,,,2366,-1909,1183,0,
 1654530057411.91674804687,-0.07470703125,0.3076171875,-0.97717285156,,,,,,,,
 1654530057490.89624023437,,,,,,2366,16,1183,0,
 1654530057501.15014648437,,,,,,2350,1213,1175,0,
 1654530057517.66015625,,,,,,2342,1607,1171,0,
 1654530057558.5537109375,,,,,,2326,1209,1163,0,
 1654530057563.1923828125,,,,65,0,,,,
 1654530057571.43212890625,-0.07165527343,0.3134765625,-0.97045898437,,,,,,,,
 1654530057598.28759765625,,,,,,2302,145,1151,0,
 1654530057638.17407226562,,,,,,2282,-1308,1141,0,
 1654530057651.84594726562,-0.06774902343,0.31506347656,-0.96435546875,,,,,,,,
 1654530057678.64038085937,,,,,,2286,-2839,1143,0,
 1654530057718.83203125,,,,,,2302,-4162,1151,0,
 1654530057731.52734375,-0.07019042968,0.31884765625,-0.96459960937,,,,,,,,
 1654530057759.14575195312,,,,,,2446,-4936,1223,0,
 1654530057799.36791992187,,,,,,2622,-4979,1311,0,
 1654530057812.42944335937,-0.07336425781,0.314453125,-0.9677734375,,,,,,,,
 1654530057839.83422851562,,,,,,2718,-4218,1359,0,
 1654530057879.93432617187,,,,,,2798,-2678,1399,0,
 1654530057891.65307617187,-0.07482910156,0.31237792968,-0.96728515625,,,,,,,,
 1654530057920.46166992187,,,,,,2814,-520,1407,0,
 1654530057960.47021484375,,,,,,2814,1997,1407,0,
 1654530057971.48706054687,-0.0712890625,0.31140136718,-0.97424316406,,,,,,,,
 1654530058001.48583984375,,,,,,2814,4559,1407,0,
 1654530058041.00610351562,,,,,,2814,6810,1407,0,
 1654530058051.3515625,-0.06860351562,0.30981445312,-0.97448730468,,,,,,,,
 1654530058081.35034179687,,,,,,2814,8427,1407,0,
 1654530058131.52124023437,-0.07153320312,0.30920410156,-0.97143554687,,,,,,,,
 1654530058162.00830078125,,,,,,2814,9193,1407,0,
 1654530058202.81030273437,,,,,,2774,8944,1387,0,
 1654530058210.10400390625,,,,75,0,,,,
 1654530058214.22387695312,-0.07397460937,0.30578613281,-0.97827148437,,,,,,,,
 1654530058242.97143554687,,,,,,2762,7705,1381,0,
 1654530058282.64428710937,,,,,,2726,5577,1363,0,
 1654530058291.31127929687,-0.0771484375,0.30200195312,-0.98046875,,,,,,,,
 1654530058323.01904296875,,,,,,2726,2748,1363,0,
 1654530058363.21069335937,,,,,,2846,-335,1423,0,
 1654530058371.57250976562,-0.07348632812,0.29919433593,-0.97937011718,,,,,,,,
 1654530058403.55493164062,,,,,,2990,-3358,1495,0,
 1654530058492.8798828125,-0.06652832031,0.30212402343,-0.97473144531,,,,,,,,
 1654530058497.30493164062,,,,,,3126,-5900,1563,0,
 1654530058524.49609375,,,,,,3182,-8514,1591,0,
 1654530058532.33911132812,-0.06640625,0.30651855468,-0.96948242187,,,,,,,,
 1654530058565.23706054687,,,,,,3166,-8357,1583,0,
 1654530058604.84887695312,,,,,,3158,-7280,1579,0,
 1654530058612.2646484375,-0.07055664062,0.30444335937,-0.98059082031,,,,,,,,
 1654530058645.28466796875,,,,,,3166,-5443,1583,0,
 1654530058685.41528320312,,,,,,3150,-3182,1575,0,
 1654530058692.953125,-0.07458496093,0.30249023437,-0.98046875,,,,,,,,
 1654530058725.72900390625,,,,,,3150,-884,1575,0,
 1654530058765.98168945312,,,,,,3126,1082,1563,0,
 1654530058773.3974609375,-0.07434082031,0.30358886718,-0.97216796875,,,,,,,,
 1654530058806.72265625,,,,,,3118,2401,1559,0,
 1654530058846.48706054687,,,,,,3102,2820,1551,0,
 1654530058853.87231445312,-0.06701660156,0.30310058593,-0.97961425781,,,,,,,,
 1654530058887.83837890625,,,,,,3070,2162,1535,0,
 1654530058892.416015625,,,,78,0,,,,
 1654530058929.80004882812,,,,,,3030,435,1515,0,
 1654530058934.5302734375,-0.0634765625,0.30285644531,-0.986328125,,,,,,,,
 1654530058967.51977539062,,,,,,3070,-2056,1535,0,
 1654530059010.15283203125,,,,,,3238,-4995,1619,0,
 1654530059015.0966796875,-0.06506347656,0.30065917968,-0.98425292968,,,,,,,,
 1654530059047.87255859375,,,,,,3382,-7959,1691,0,
 1654530059090.90234375,,,,,,3454,-10574,1727,0,
 1654530059128.19482421875,,,,,,3510,-12405,1755,0,
 1654530059171.31616210937,,,,,,3518,-13154,1759,0,
 1654530059209.00537109375,,,,,,3550,-12576,1775,0,
 1654530059252.00463867187,-0.06323242187,0.30261230468,-0.9765625,,,,,,,,
 1654530059256.21606445312,,,,,,3518,-10686,1759,0,
 1654530059289.66333007812,,,,,,3510,-7632,1755,0,
 1654530059333.54760742187,-0.06494140625,0.29431152343,-0.9765625,,,,,,,,
 1654530059337.91162109375,,,,,,3502,-3730,1751,0,
 1654530059370.16870117187,,,,,,3478,607,1739,0,
 1654530059413.32055664062,-0.06469726562,0.29260253906,-0.96923828125,,,,,,,,
 1654530059417.4404296875,,,,,,3438,4903,1719,0,
 1654530059491.87280273437,,,,,,3382,8656,1691,0,
 1654530059502.4013671875,,,,,,3326,11380,1663,0,
 1654530059531.30151367187,,,,,,3286,12766,1643,0,
 1654530059574.9111328125,-0.06494140625,0.28930664062,-0.98229980468,,,,,,,,
 1654530059579.12255859375,,,,,,3198,12640,1599,0,
 1654530059583.73071289062,,,,80,0,,,,
 1654530059612.35620117187,,,,,,3102,11074,1551,0,
 1654530059654.77563476562,-0.06469726562,0.29541015625,-0.982421875,,,,,,,,
 1654530059658.92602539062,,,,,,3070,8308,1535,0,
 1654530059692.49536132812,,,,,,3158,4771,1579,0,
 1654530059736.47119140625,-0.06872558593,0.30029296875,-0.97302246093,,,,,,,,
 1654530059740.59106445312,,,,,,3262,900,1631,0,
 1654530059772.93969726562,,,,,,3310,-2810,1655,0,
 1654530059815.90844726562,-0.07165527343,0.3037109375,-0.97595214843,,,,,,,,
 1654530059820.11987304687,,,,,,3310,-5864,1655,0,
 1654530059853.4755859375,,,,,,3278,-7872,1639,0,
 1654530059896.38330078125,-0.06774902343,0.30419921875,-0.97729492187,,,,,,,,
 1654530059900.74731445312,,,,,,3222,-8608,1611,0,
 1654530059934.0419921875,,,,,,3150,-8044,1575,0,
 1654530059977.1328125,-0.07019042968,0.30029296875,-0.9716796875,,,,,,,,
 1654530059981.19165039062,,,,,,3118,-6317,1559,0,
 1654530060014.66943359375,,,,,,3070,-3749,1535,0,
 1654530060051.26000976562,-0.07336425781,0.30151367187,-0.96691894531,,,,,,,,
 1654530060094.9306640625,,,,,,2942,-814,1471,0,
 1654530060131.0634765625,-0.07482910156,0.30419921875,-0.96472167968,,,,,,,,
 1654530060175.4970703125,,,,,,2814,2078,1407,0,
 1654530060210.98901367187,-0.07336425781,0.3076171875,-0.96997070312,,,,,,,,
 1654530060256.03295898437,,,,,,2686,4416,1343,0,
 1654530060291.18920898437,-0.07275390625,0.31127929687,-0.97351074218,,,,,,,,
 1654530060336.56884765625,,,,,,2602,5819,1301,0,
 1654530060371.02319335937,-0.07666015625,0.31298828125,-0.97412109375,,,,,,,,
 1654530060417.5625,,,,,,2846,6185,1423,0,
 1654530060487.20361328125,-0.07946777343,0.31262207031,-0.9794921875,,,,,,,,
 1654530060503.744140625,,,,77,0,,,,
 1654530060537.86279296875,-0.08081054687,0.3125,-0.98107910156,,,,,,,,
 1654530060541.79956054687,,,,,,2862,3345,1431,0,
 1654530060578.35961914062,,,,,,2814,608,1407,0,
 1654530060616.07934570312,-0.07934570312,0.31457519531,-0.97448730468,,,,,,,,
 1654530060622.21337890625,,,,,,2766,-2512,1383,0,
 1654530060674.3984375,,,,95,100,,,,
 1654530060677.41967773437,,,,,,,,,,95
 1654530060680.56298828125,,,,,,2710,-5601,1355,0,
 1654530060696.55419921875,-0.07763671875,0.31860351562,-0.96618652343,,,,,,,,
 1654530060702.87133789062,,,,,,2686,-8244,1343,0,
 1654530060771.10864257812,-0.0810546875,0.32153320312,-0.96752929687,,,,,,,,
 1654530060781.91186523437,,,,,,2646,-10060,1323,0,
 1654530060820.24194335937,,,,,,2622,-10812,1311,0,
 1654530060850.94262695312,-0.08154296875,0.31774902343,-0.97131347656,,,,,,,,
 1654530060862.142578125,,,,,,2602,-10441,1301,0,
 1654530060900.56420898437,,,,,,2558,-9063,1279,0,
 1654530060930.95971679687,-0.07653808593,0.30444335937,-0.9677734375,,,,,,,,
 1654530060942.220703125,,,,,,2550,-6954,1275,0,
 1654530061011.068359375,-0.07214355468,0.29724121093,-0.97351074218,,,,,,,,
 1654530061021.87158203125,,,,,,2774,-4326,1387,0,
 1654530061061.91064453125,,,,,,2934,-1661,1467,0,
 1654530061090.90234375,-0.07116699218,0.30432128906,-0.97619628906,,,,,,,,
 1654530061102.04125976562,,,,,,3070,638,1535,0,
 1654530061142.2939453125,,,,,,3254,2260,1627,0,
 1654530061171.01098632812,-0.06970214843,0.31811523437,-0.95971679687,,,,,,,,
 1654530061182.30249023437,,,,,,3454,3029,1727,0,
 1654530061223.74536132812,,,,,,3630,2925,1815,0,
 1654530061228.65869140625,,,,78,0,,,,
 1654530061251.302734375,-0.06372070312,0.33276367187,-0.94995117187,,,,,,,,
 1654530061263.17407226562,,,,,,3838,2069,1919,0,
 1654530061303.15209960937,,,,,,4062,673,2031,0,
 1654530061330.86206054687,-0.05786132812,0.35534667968,-0.94750976562,,,,,,,,
 1654530061343.587890625,,,,,,4222,-932,2111,0,
 1654530061383.87109375,,,,,,4414,-2375,2207,0,
 1654530061411.03173828125,-0.05822753906,0.3720703125,-0.94213867187,,,,,,,,
 1654530061424.3984375,,,,,,4606,-3321,2303,0,
 1654530061490.37744140625,,,,,,4782,-3548,2391,0,
 1654530061506.64331054687,,,,,,4958,-2922,2479,0,
 1654530061544.91235351562,,,,,,5102,-1476,2551,0,
 1654530061570.82177734375,-0.080078125,0.41247558593,-0.92419433593,,,,,,,,
 1654530061625.326171875,,,,,,5562,758,2781,0,
 1654530061651.02197265625,-0.08837890625,0.42895507812,-0.90209960937,,,,,,,,
 1654530061665.853515625,,,,,,5934,3445,2967,0,
 1654530061705.892578125,,,,,,6270,6179,3135,0,
 1654530061732.07666015625,-0.083984375,0.4501953125,-0.90014648437,,,,,,,,
 1654530061746.419921875,,,,,,6558,8571,3279,0,
 1654530061786.458984375,,,,,,6830,10252,3415,0,
 1654530061810.78149414062,-0.07043457031,0.48718261718,-0.88879394531,,,,,,,,
 1654530061826.8642578125,,,,,,7038,10990,3519,0,
 1654530061867.6357421875,,,,,,7254,10654,3627,0,
 1654530061872.57958984375,,,,80,0,,,,
 1654530061891.01220703125,-0.05053710937,0.52416992187,-0.87194824218,,,,,,,,
 1654530061907.4306640625,,,,,,7422,9245,3711,0,
 1654530061948.62939453125,,,,,,7614,6948,3807,0,
 1654530061971.05981445312,-0.02868652343,0.56860351562,-0.84228515625,,,,,,,,
 1654530061989.18725585937,,,,,,7550,3903,0,3775,
 1654530062028.5244140625,,,,,,7486,451,2175,1568,
 1654530062050.7412109375,-0.00512695312,0.60815429687,-0.79614257812,,,,,,,,
 1654530062068.59399414062,,,,,,7422,-3020,2271,1440,
 1654530062108.6025390625,,,,,,7550,-6092,2367,1408,
 1654530062131.0634765625,0.01330566406,0.63269042968,-0.76843261718,,,,,,,,
 1654530062160.17724609375,,,,93,100,,,,
 1654530062163.25952148437,,,,,,,,,,93
 1654530062166.341796875,,,,,,7646,-8573,2447,1376,
 1654530062189.4130859375,,,,,,7758,-10402,2535,1344,
 1654530062211.1416015625,0.02490234375,0.6484375,-0.76684570312,,,,,,,,
 1654530062229.6962890625,,,,,,7838,-11449,2607,1312,
 1654530062290.70092773437,0.03564453125,0.6494140625,-0.77563476562,,,,,,,,
 1654530062310.23217773437,,,,,,8254,-11710,2847,1280,
 1654530062350.27124023437,,,,,,8414,-11523,2959,1248,
 1654530062371.0537109375,0.03857421875,0.64892578125,-0.77331542968,,,,,,,,
 1654530062390.8291015625,,,,,,8574,-11123,3071,1216,
 1654530062430.80712890625,,,,,,8702,-10791,3167,1184,
 1654530062496.60302734375,0.0263671875,0.69445800781,-0.7275390625,,,,,,,,
 1654530062500.66186523437,,,,,,8702,-10845,3199,1152,
 1654530062531.6982421875,0.0009765625,0.76794433593,-0.67492675781,,,,,,,,
 1654530062551.87036132812,,,,,,8670,-12631,3247,1088,
 1654530062592.45874023437,,,,,,8638,-14410,3263,1056,
 1654530062611.01342773437,-0.02551269531,0.81042480468,-0.63781738281,,,,,,,,
 1654530062632.19262695312,,,,,,8574,-16558,3263,1024,
 1654530062672.47583007812,,,,,,8510,-18776,3263,992,
 1654530062691.06103515625,-0.041015625,0.82397460937,-0.61743164062,,,,,,,,
 1654530062752.95068359375,,,,,,8558,-20826,3319,960,
 1654530062770.62036132812,-0.04418945312,0.81469726562,-0.630859375,,,,,,,,
 1654530062793.50854492187,,,,,,8542,-22301,3343,928,
 1654530062833.9443359375,,,,,,8558,-22915,3383,896,
 1654530062850.97314453125,-0.04870605468,0.79162597656,-0.65795898437,,,,,,,,
 1654530062873.80029296875,,,,,,8574,-22425,3423,864,
 1654530062914.11401367187,,,,,,8622,-20745,3479,832,
 1654530062931.99731445312,-0.05920410156,0.76525878906,-0.68310546875,,,,,,,,
 1654530062954.33618164062,,,,,,8702,-17873,3551,800,
 1654530062994.5888671875,,,,,,8894,-13989,3679,768,
 1654530063010.580078125,-0.07446289062,0.73303222656,-0.71154785156,,,,,,,,
 1654530063036.42846679687,,,,,,9054,-9368,3791,736,
 1654530063075.09423828125,,,,,,8990,-4475,1899,2596,
 1654530063090.96337890625,-0.08374023437,0.70141601562,-0.73522949218,,,,,,,,
 1654530063115.46899414062,,,,,,8926,354,1975,2488,
 1654530063155.66064453125,,,,,,8990,4834,2039,2456,
 1654530063170.98046875,-0.0869140625,0.67419433593,-0.75354003906,,,,,,,,
 1654530063195.97436523437,,,,,,8998,8569,2075,2424,
 1654530063236.22705078125,,,,,,9006,11353,2111,2392,
 1654530063250.53979492187,-0.09265136718,0.65515136718,-0.77453613281,,,,,,,,
 1654530063276.54077148437,,,,,,8998,13114,2139,2360,
 1654530063316.76293945312,,,,,,8974,13838,2159,2328,
 1654530063331.0146484375,-0.09533691406,0.65466308593,-0.78015136718,,,,,,,,
 1654530063397.97021484375,,,,,,8686,13581,2047,2296,
 1654530063402.97509765625,,,,73,0,,,,
 1654530063411.06225585937,-0.09338378906,0.64404296875,-0.7880859375,,,,,,,,
 1654530063489.88916015625,,,,,,8494,12636,1983,2264,
 1654530063500.66186523437,,,,,,8350,11324,1943,2232,
 1654530063518.30102539062,,,,,,8286,9983,1943,2200,
 1654530063558.58422851562,,,,,,8238,8907,1951,2168,
 1654530063570.69970703125,-0.09887695312,0.53332519531,-0.84777832031,,,,,,,,
 1654530063598.8369140625,,,,,,8190,8288,1959,2136,
 1654530063702.13891601562,,,,94,100,,,,
