 Time,Acc_x,Acc_y,Acc_z,HRM_b,HRM_c,HRM_r,HRM_f,PPG_r,PPG_o,BTHRM
 1654529689999.19702148437,0.02197265625,0.572265625,-0.83557128906,,,,,,,,
 1654529690003.43896484375,,,,,,7358,6302,3679,0,
 1654529690029.37890625,,,,,,7406,7725,3703,0,
 1654529690060.5068359375,0.01965332031,0.5732421875,-0.83264160156,,,,,,,,
 1654529690071.06591796875,,,,,,7486,9135,3743,0,
 1654529690109.67065429687,,,,,,7550,10582,3775,0,
 1654529690140.3408203125,0.0185546875,0.57580566406,-0.8291015625,,,,,,,,
 1654529690152.181640625,,,,,,7646,12036,3823,0,
 1654529690190.23706054687,,,,,,7582,13372,2635,1156,
 1654529690220.4189453125,0.02429199218,0.57495117187,-0.83483886718,,,,,,,,
 1654529690231.13061523437,,,,,,7518,14471,2655,1104,
 1654529690270.92553710937,,,,,,7486,15159,2671,1072,
 1654529690300.46655273437,0.02807617187,0.57556152343,-0.84057617187,,,,,,,,
 1654529690311.2392578125,,,,,,7454,15228,2687,1040,
 1654529690380.30053710937,0.02978515625,0.580078125,-0.83605957031,,,,,,,,
 1654529690392.5380859375,,,,,,7438,14498,2711,1008,
 1654529690397.298828125,,,,47,16,,,,
 1654529690431.8447265625,,,,,,7390,12827,2719,976,
 1654529690460.53125,0.02648925781,0.580078125,-0.83276367187,,,,,,,,
 1654529690472.15844726562,,,,,,7326,10200,2719,944,
 1654529690512.4111328125,,,,,,7262,6673,2719,912,
 1654529690540.42626953125,0.02490234375,0.57788085937,-0.83447265625,,,,,,,,
 1654529690553.27416992187,,,,,,7182,2409,2711,880,
 1654529690592.94702148437,,,,,,7118,-2368,2711,848,
 1654529690620.22973632812,0.02722167968,0.57067871093,-0.83837890625,,,,,,,,
 1654529690633.3828125,,,,,,7006,-7373,2687,816,
 1654529690673.75756835937,,,,,,6942,-12261,2687,784,
 1654529690700.49096679687,0.02624511718,0.56420898437,-0.84533691406,,,,,,,,
 1654529690714.04077148437,,,,,,6862,-16704,2679,752,
 1654529690754.04931640625,,,,,,6750,-20470,2655,720,
 1654529690833.12036132812,0.02270507812,0.56433105468,-0.84240722656,,,,,,,,
 1654529690837.240234375,,,,,,6718,-23319,2671,688,
 1654529690860.12841796875,0.02111816406,0.56127929687,-0.84313964843,,,,,,,,
 1654529690875.2041015625,,,,,,6558,-26073,2655,624,
 1654529690915.42626953125,,,,,,6526,-26016,2671,592,
 1654529690940.35913085937,0.02136230468,0.55981445312,-0.84448242187,,,,,,,,
 1654529690955.58740234375,,,,,,6542,-25137,2711,560,
 1654529690995.62646484375,,,,,,6542,-23666,2743,528,
 1654529691020.40673828125,0.0224609375,0.5654296875,-0.83361816406,,,,,,,,
 1654529691036.15380859375,,,,,,6494,-21813,2751,496,
 1654529691076.16235351562,,,,,,6494,-19718,2783,464,
 1654529691100.08813476562,0.02404785156,0.5732421875,-0.82861328125,,,,,,,,
