 Time,Acc_x,Acc_y,Acc_z,HRM_b,HRM_c,HRM_r,HRM_f,PPG_r,PPG_o,BTHRM
 1654529744683.12646484375,-0.3154296875,0.32849121093,-0.92138671875,,,,,,,,
 1654529744687.52099609375,,,,,,6574,-29163,2943,344,
 1654529744711.5078125,,,,,,6510,-29197,2943,312,
 1654529744743.06298828125,-0.31494140625,0.33142089843,-0.92578125,,,,,,,,
 1654529744753.98828125,,,,,,6446,-28064,2943,280,
 1654529744792.16577148437,,,,,,6382,-25944,2943,248,
 1654529744823.17163085937,-0.31567382812,0.33166503906,-0.92260742187,,,,,,,,
 1654529744833.85278320312,,,,,,6310,-23094,2939,216,
 1654529744904.16528320312,-0.31396484375,0.32873535156,-0.91491699218,,,,,,,,
 1654529744914.78540039062,,,,,,6238,-19764,2935,184,
 1654529744953.14599609375,,,,,,6190,-16312,2943,152,
 1654529744983.02270507812,-0.31005859375,0.33154296875,-0.91027832031,,,,,,,,
 1654529744993.978515625,,,,,,6158,-13068,2959,120,
 1654529745033.74291992187,,,,,,6126,-10300,2975,88,
 1654529745063.13134765625,-0.31030273437,0.33911132812,-0.91015625,,,,,,,,
 1654529745073.87353515625,,,,,,6110,-8157,2999,56,
 1654529745114.12622070312,,,,,,6062,-6729,3007,24,
 1654529745179.12866210937,-0.31457519531,0.34045410156,-0.91125488281,,,,,,,,
 1654529745183.40112304687,,,,,,6046,-5991,3023,0,
 1654529745223.1044921875,-0.32177734375,0.3349609375,-0.92944335937,,,,,,,,
 1654529745235.677734375,,,,,,5982,-6230,2991,0,
 1654529745240.37744140625,,,,50,45,,,,
 1654529745275.28955078125,,,,,,5982,-6787,2991,0,
 1654529745303.15209960937,-0.310546875,0.32189941406,-0.92224121093,,,,,,,,
 1654529745315.96948242187,,,,,,5998,-7273,2999,0,
 1654529745355.61181640625,,,,,,6014,-7470,3007,0,
 1654529745383.0166015625,-0.27722167968,0.32934570312,-0.888671875,,,,,,,,
 1654529745396.01708984375,,,,,,5982,-7217,2991,0,
 1654529745436.14770507812,,,,,,5918,-6371,2959,0,
 1654529745462.8505859375,-0.26989746093,0.36096191406,-0.88024902343,,,,,,,,
 1654529745476.55297851562,,,,,,5886,-4902,2943,0,
 1654529745516.86669921875,,,,,,5822,-2753,2911,0,
 1654529745543.11181640625,-0.28735351562,0.38818359375,-0.85864257812,,,,,,,,
 1654529745557.2109375,,,,,,5614,-99,2807,0,
 1654529745597.15844726562,,,,,,5246,2704,2623,0,
 1654529745622.97631835937,-0.30285644531,0.40100097656,-0.82983398437,,,,,,,,
 1654529745677.66381835937,,,,,,4062,5001,2031,0,
 1654529745702.74926757812,-0.32153320312,0.44653320312,-0.81640625,,,,,,,,
 1654529745718.099609375,,,,,,3326,6993,1663,0,
 1654529745758.19970703125,,,,,,2550,8332,1275,0,
 1654529745784.04809570312,-0.30944824218,0.53857421875,-0.79455566406,,,,,,,,
 1654529745798.84912109375,,,,,,1626,8670,813,0,
 1654529745840.71923828125,,,,,,622,7904,311,0,
 1654529745845.1748046875,,,,55,21,,,,
 1654529745862.9970703125,-0.27038574218,0.59301757812,-0.77185058593,,,,,,,,
 1654529745879.232421875,,,,,,686,6456,1375,-1032,
 1654529745919.21044921875,,,,,,750,4352,1037,-662,
 1654529745942.708984375,-0.279296875,0.65490722656,-0.74768066406,,,,,,,,
 1654529745959.64624023437,,,,,,110,1490,685,-630,
 1654529745999.74633789062,,,,,,-462,-1635,367,-598,
 1654529746023.03125,-0.30944824218,0.79211425781,-0.66552734375,,,,,,,,
 1654529746041.49438476562,,,,,,-802,-4691,165,-566,
 1654529746080.25170898437,,,,,,-738,-7112,2367,-2736,
 1654529746103.07885742187,-0.42053222656,0.91345214843,-0.5302734375,,,,,,,,
 1654529746172.59790039062,,,,,,-674,-8741,2379,-2716,
 1654529746185.84252929687,-0.65466308593,0.91687011718,-0.45153808593,,,,,,,,
 1654529746201.19287109375,,,,,,-250,-8730,2527,-2652,
 1654529746241.56762695312,,,,,,182,-6872,2711,-2620,
 1654529746262.99096679687,-0.86401367187,0.89245605468,-0.37731933593,,,,,,,,
 1654529746281.85083007812,,,,,,454,-4010,2815,-2588,
 1654529746321.95092773437,,,,,,710,-326,2911,-2556,
 1654529746343.00805664062,-0.982421875,0.79028320312,-0.23425292968,,,,,,,,
 1654529746362.32568359375,,,,,,918,3813,2983,-2524,
 1654529746402.76147460937,,,,,,1118,8001,3051,-2492,
 1654529746422.87255859375,-1.01257324218,0.63745117187,-0.10510253906,,,,,,,,
 1654529746442.86157226562,,,,,,1286,11868,3103,-2460,
 1654529746482.90063476562,,,,,,1462,15134,3159,-2428,
 1654529746503.04223632812,-0.94116210937,0.56713867187,-0.01989746093,,,,,,,,
 1654529746523.42797851562,,,,,,1606,17422,3199,-2396,
 1654529746563.37548828125,,,,,,1766,18609,3247,-2364,
 1654529746582.9677734375,-0.81103515625,0.49584960937,0.03869628906,,,,,,,,
 1654529746603.90283203125,,,,,,1918,18675,3291,-2332,
 1654529746644.58276367187,,,,,,2054,17726,3327,-2300,
 1654529746649.16040039062,,,,60,22,,,,
 1654529746662.923828125,-0.69604492187,0.42712402343,0.09106445312,,,,,,,,
 1654529746684.31665039062,,,,,,2230,16036,3383,-2268,
 1654529746725.02709960937,,,,,,2374,13813,3423,-2236,
 1654529746743.03247070312,-0.66223144531,0.45764160156,0.15612792968,,,,,,,,
 1654529746764.82202148437,,,,,,2534,11300,3471,-2204,
 1654529746804.95263671875,,,,,,2662,8758,3503,-2172,
 1654529746822.7138671875,-0.71533203125,0.67407226562,0.08532714843,,,,,,,,
 1654529746885.42749023437,,,,,,2790,6410,3535,-2140,
 1654529746902.76147460937,-0.78796386718,0.86462402343,-0.08422851562,,,,,,,,
 1654529746926.50415039062,,,,,,2902,4429,3559,-2108,
 1654529746965.96337890625,,,,,,3014,2823,3583,-2076,
 1654529746982.96166992187,-0.75622558593,0.853515625,-0.20495605468,,,,,,,,
 1654529747006.27709960937,,,,,,3142,1479,3615,-2044,
 1654529747046.49926757812,,,,,,3302,368,3663,-2012,
 1654529747062.67358398437,-0.63195800781,0.7607421875,-0.298828125,,,,,,,,
 1654529747086.78247070312,,,,,,3462,-627,3711,-1980,
 1654529747176.87036132812,-0.57507324218,0.64453125,-0.35095214843,,,,,,,,
 1654529747180.92919921875,,,,,,3590,-1671,3743,-1948,
 1654529747208.822265625,,,,,,3846,-4526,3807,-1884,
 1654529747222.8603515625,-0.61633300781,0.52770996093,-0.35339355468,,,,,,,,
 1654529747248.0068359375,,,,,,3910,-6479,2559,-604,
 1654529747288.01538085937,,,,,,3974,-8689,2623,-636,
 1654529747302.63330078125,-0.77001953125,0.46911621093,-0.28149414062,,,,,,,,
 1654529747328.54272460937,,,,,,4086,-11085,2647,-604,
 1654529747368.58178710937,,,,,,4166,-13585,2655,-572,
 1654529747382.46728515625,-0.88647460937,0.47412109375,-0.25524902343,,,,,,,,
 1654529747408.98706054687,,,,,,4246,-15989,2663,-540,
 1654529747449.056640625,,,,,,4390,-18087,2703,-508,
 1654529747462.88110351562,-0.96264648437,0.47546386718,-0.25769042968,,,,,,,,
 1654529747489.40087890625,,,,,,4518,-19790,2735,-476,
 1654529747529.59252929687,,,,,,4678,-21016,2783,-444,
 1654529747542.5625,-0.97631835937,0.46459960937,-0.24523925781,,,,,,,,
 1654529747569.90625,,,,,,4806,-21903,2815,-412,
 1654529747622.42700195312,-0.83984375,0.46154785156,-0.28210449218,,,,,,,,
 1654529747650.50317382812,,,,,,5062,-22443,2911,-380,
 1654529747690.6337890625,,,,,,5174,-22887,2935,-348,
 1654529747702.71875,-0.73254394531,0.46740722656,-0.34521484375,,,,,,,,
 1654529747731.49682617187,,,,,,5254,-23358,2943,-316,
 1654529747771.13916015625,,,,,,5382,-24058,2975,-284,
 1654529747782.52221679687,-0.71472167968,0.50769042968,-0.43408203125,,,,,,,,
 1654529747811.66650390625,,,,,,5494,-25134,2999,-252,
 1654529747851.67504882812,,,,,,5606,-26626,3023,-220,
 1654529747862.38671875,-0.86279296875,0.5244140625,-0.50988769531,,,,,,,,
 1654529747891.98876953125,,,,,,5702,-28481,3039,-188,
 1654529747932.27197265625,,,,,,5830,-30601,3071,-156,
 1654529747972.43310546875,,,,,,6022,-32768,3135,-124,
 1654529748012.71630859375,,,,,,6182,-32768,3183,-92,
 1654529748022.72607421875,-1.08190917968,0.39758300781,-0.53393554687,,,,,,,,
 1654529748053.4267578125,,,,,,6342,-32768,3231,-60,
 1654529748093.2216796875,,,,,,6462,-32768,3259,-28,
 1654529748174.12377929687,,,,,,6558,-32768,3279,0,
 1654529748214.16284179687,,,,,,6718,-31874,3359,0,
 1654529748254.29345703125,,,,,,6814,-28289,3407,0,
 1654529748294.515625,,,,,,6878,-24124,3439,0,
 1654529748334.76831054687,,,,,,6974,-19712,3487,0,
 1654529748342.33666992187,-0.96362304687,0.42333984375,-0.26611328125,,,,,,,,
 1654529748375.35668945312,,,,,,7006,-15385,3503,0,
 1654529748415.30419921875,,,,,,7038,-11428,3519,0,
 1654529748422.84204101562,-0.84851074218,0.37768554687,-0.20751953125,,,,,,,,
 1654529748455.86206054687,,,,,,7086,-7912,3543,0,
 1654529748495.8095703125,,,,,,7102,-4860,3551,0,
 1654529748504.32397460937,-0.74279785156,0.33251953125,-0.18737792968,,,,,,,,
 1654529748536.55053710937,,,,,,7102,-2049,3551,0,
 1654529748576.34545898437,,,,,,7102,849,3551,0,
 1654529748616.56762695312,,,,,,7086,4405,3543,0,
 1654529748656.85083007812,,,,,,6974,9182,3487,0,
 1654529748664.2666015625,-0.86145019531,0.31994628906,-0.3076171875,,,,,,,,
 1654529748697.37817382812,,,,,,6958,15677,3479,0,
 1654529748737.35620117187,,,,,,7022,24328,3511,0,
 1654529748744.89404296875,-0.98645019531,0.40356445312,-0.470703125,,,,,,,,
 1654529748777.88354492187,,,,,,7134,32767,3567,0,
 1654529748822.2255859375,-1.04052734375,0.37890625,-0.57397460937,,,,,,,,
 1654529748858.96875,,,,,,7382,32767,3691,0,
 1654529748863.7294921875,,,,58,21,,,,
 1654529748901.3271484375,,,,,,7502,32767,3751,0,
 1654529748905.99633789062,-0.99914550781,0.37780761718,-0.56579589843,,,,,,,,
 1654529748940.05395507812,,,,,,7582,32767,3791,0,
 1654529748981.74096679687,,,,,,7518,32767,2007,1752,
 1654529749019.46069335937,,,,,,7454,32767,2031,1696,
 1654529749062.03271484375,,,,,,7422,32767,2047,1664,
 1654529749099.87451171875,,,,,,7454,32767,2095,1632,
 1654529749178.6708984375,-0.78869628906,0.45629882812,-0.3759765625,,,,,,,,
 1654529749182.69921875,,,,,,7502,32767,2151,1600,
 1654529749223.74536132812,-0.84094238281,0.43896484375,-0.29418945312,,,,,,,,
 1654529749228.109375,,,,,,7534,32767,2231,1536,
 1654529749260.79370117187,,,,,,7510,32767,2251,1504,
 1654529749303.94555664062,-0.92785644531,0.45581054687,-0.22265625,,,,,,,,
 1654529749308.15698242187,,,,,,7438,32767,2247,1472,
 1654529749341.69580078125,,,,,,7382,28286,2251,1440,
