 Time,Acc_x,Acc_y,Acc_z,HRM_b,HRM_c,HRM_r,HRM_f,PPG_r,PPG_o,BTHRM
 1655063121067.40771484375,,,,,,25637,3566,3611,22026,
 1655063121101.19067382812,,,,,,25628,-1458,3634,21994,
 1655063121119.98950195312,-0.10229492187,-0.34191894531,-0.91491699218,,,,,,,,
 1655063121134.63793945312,,,,,,25629,-7570,3667,21962,
 1655063121168.48193359375,,,,,,25609,-14038,3679,21930,
 1655063121200.31176757812,-0.05712890625,-0.31579589843,-0.91345214843,,,,,,,,
 1655063121235.59008789062,,,,,,25580,-20132,3682,21898,
 1655063121269.18994140625,,,,,,25511,-25230,3645,21866,
 1655063121280.51196289062,-0.04431152343,-0.29113769531,-0.92102050781,,,,,,,,
 1655063121302.6982421875,,,,,,25503,-28794,3669,21834,
 1655063121336.3896484375,,,,,,25525,-30491,3723,21802,
 1655063121360.0712890625,-0.04675292968,-0.28381347656,-0.94641113281,,,,,,,,
 1655063121369.8369140625,,,,,,25508,-30497,3738,21770,
 1655063121403.74194335937,,,,,,25525,-28889,3787,21738,
 1655063121439.99682617187,,,,,,25552,-25969,3846,21706,
 1655063121470.97216796875,,,,,,25566,-22294,3892,21674,
 1655063121532.068359375,,,,,,25549,-18541,3907,21642,
 1655063121545.95385742187,,,,,,25517,-15346,1232,24285,
 1655063121571.52758789062,,,,,,25485,-13145,1293,24192,
 1655063121602.380859375,-0.03137207031,-0.26770019531,-0.97534179687,,,,,,,,
 1655063121608.728515625,,,,,,25503,-12252,1343,24160,
 1655063121639.52075195312,,,,,,25533,-12846,1405,24128,
 1655063121665.94897460937,,,,57,56,,,,
 1655063121674.00561523437,,,,,,25559,-14577,1463,24096,
 1655063121719.568359375,-0.03442382812,-0.26037597656,-0.97387695312,,,,,,,,
 1655063121723.87133789062,,,,,,25584,-17322,1520,24064,
 1655063121779.59643554687,-0.03796386718,-0.25805664062,-0.97326660156,,,,,,,,
 1655063121783.96044921875,,,,,,25609,-24272,1609,24000,
 1655063121824.4267578125,,,,,,25631,-27236,1663,23968,
 1655063121843.92749023437,-0.03747558593,-0.25476074218,-0.97290039062,,,,,,,,
 1655063121866.99877929687,,,,,,25615,-29133,1679,23936,
 1655063121939.60009765625,-0.03515625,-0.25329589843,-0.97692871093,,,,,,,,
 1655063121943.84204101562,,,,,,25601,-28520,1729,23872,
 1655063121999.53662109375,,,,,,25607,-22025,1799,23808,
 1655063122008.90551757812,,,,,,25623,-17217,1847,23776,
 1655063122056.87915039062,,,,,,25668,-12028,1924,23744,
 1655063122078.8212890625,,,,,,25750,-7031,2038,23712,
 1655063122100.48876953125,-0.02526855468,-0.27294921875,-0.96826171875,,,,,,,,
