 Time,Acc_x,Acc_y,Acc_z,HRM_b,HRM_c,HRM_r,HRM_f,PPG_r,PPG_o,BTHRM
 1655061766469.26318359375,,,,,,2377,-8862,2377,0,
 1655061766496.75952148437,,,,,,2416,-9001,2416,0,
 1655061766530.54248046875,,,,,,2428,-8563,2428,0,
 1655061766563.95922851562,,,,,,2415,-7557,2415,0,
 1655061766597.83374023437,,,,,,2379,-6056,2379,0,
 1655061766631.189453125,,,,,,2384,-4146,2384,0,
 1655061766665.03344726562,,,,,,2391,-1967,2391,0,
 1655061766698.4501953125,,,,,,2375,312,2375,0,
 1655061766732.69091796875,,,,,,2359,2525,2359,0,
 1655061766765.68041992187,,,,,,2351,4502,2351,0,
 1655061766799.5244140625,,,,,,2323,6089,2323,0,
 1655061766832.94116210937,,,,,,2305,7187,2305,0,
 1655061766866.84619140625,,,,,,2272,7681,2272,0,
 1655061766901.02587890625,,,,,,2241,7565,2241,0,
 1655061766906.82421875,,,,66,100,,,,
 1655061766934.10693359375,,,,,,2214,6850,2214,0,
 1655061766967.615234375,,,,,,2190,5593,2190,0,
 1655061767001.36767578125,,,,,,2139,3897,2139,0,
 1655061767068.47583007812,,,,,,2095,1878,2095,0,
 1655061767102.0146484375,,,,,,2029,-2513,2029,0,
 1655061767121.85107421875,0.04553222656,-0.03930664062,-1.00109863281,,,,,,,,
 1655061767135.85864257812,,,,,,1987,-4582,1987,0,
 1655061767169.42797851562,,,,,,1935,-6383,1935,0,
 1655061767203.11938476562,,,,,,1907,-7806,1907,0,
 1655061767236.5361328125,,,,,,1884,-8808,1884,0,
 1655061767270.349609375,,,,,,1837,-9335,1837,0,
 1655061767303.9189453125,,,,,,1794,-9384,1794,0,
 1655061767337.33569335937,,,,,,1783,-8956,1783,0,
 1655061767370.99658203125,,,,,,1790,-8104,1790,0,
 1655061767405.08471679687,,,,,,1811,-6869,1811,0,
 1655061767438.28784179687,,,,,,1846,-5346,1846,0,
 1655061767471.82666015625,,,,,,1902,-3584,1902,0,
 1655061767505.5791015625,,,,,,1923,-1701,1923,0,
 1655061767538.96533203125,,,,,,1966,231,1966,0,
 1655061767572.80932617187,,,,,,1963,2085,1963,0,
 1655061767606.19555664062,,,,,,1943,3779,1943,0,
 1655061767640.16162109375,,,,,,1941,5212,1941,0,
 1655061767673.45629882812,,,,,,1908,6287,1908,0,
 1655061767707.361328125,,,,,,1913,6934,1913,0,
 1655061767741.08325195312,,,,,,1935,7127,1935,0,
 1655061767775.29345703125,,,,,,1924,6802,1924,0,
 1655061767781.3359375,,,,67,100,,,,
 1655061767808.0693359375,,,,,,1888,5964,1888,0,
 1655061767841.85229492187,,,,,,1868,4652,1868,0,
 1655061767875.29956054687,,,,,,1867,2944,1867,0,
 1655061767909.20458984375,,,,,,1843,903,1843,0,
