 Time,Acc_x,Acc_y,Acc_z,HRM_b,HRM_c,HRM_r,HRM_f,PPG_r,PPG_o,BTHRM
 1655063121087.3583984375,,,,,,3982,-9008,1231,760,
 1655063121114.2138671875,-0.16003417968,-0.26428222656,-0.97583007812,,,,,,,,
 1655063121128.70971679687,,,,,,3806,-9499,1175,728,
 1655063121169.57275390625,,,,,,3630,-9096,1119,696,
 1655063121194.4140625,-0.13403320312,-0.27551269531,-0.951171875,,,,,,,,
 1655063121210.8935546875,,,,,,3430,-7816,1051,664,
 1655063121251.93969726562,,,,,,3246,-5733,991,632,
 1655063121274.09545898437,-0.13330078125,-0.27026367187,-0.966796875,,,,,,,,
 1655063121293.4130859375,,,,,,3054,-3044,927,600,
 1655063121334.4287109375,,,,,,2926,-21,895,568,
 1655063121354.47875976562,-0.14135742187,-0.25109863281,-0.99487304687,,,,,,,,
 1655063121416.64306640625,,,,,,2846,3017,887,536,
 1655063121434.5263671875,-0.13464355468,-0.2431640625,-1.00695800781,,,,,,,,
 1655063121457.2314453125,,,,,,2746,5773,869,504,
 1655063121524.67529296875,,,,,,2606,7973,831,472,
 1655063121541.42944335937,,,,,,2446,9411,783,440,
 1655063121581.77368164062,,,,,,2286,9934,735,408,
 1655063121594.28588867187,-0.12878417968,-0.24548339843,-0.99829101562,,,,,,,,
 1655063121664.47631835937,,,,,,2022,9488,635,376,
 1655063121669.267578125,,,,42,70,,,,
 1655063121675.92041015625,-0.12780761718,-0.23742675781,-0.99499511718,,,,,,,,
 1655063121705.400390625,,,,,,1866,8216,589,344,
 1655063121746.14135742187,,,,,,1706,6219,541,312,
 1655063121754.01489257812,-0.02001953125,-0.15454101562,-0.90808105468,,,,,,,,
 1655063121787.49267578125,,,,,,1518,3731,479,280,
 1655063121828.47778320312,,,,,,1358,1019,431,248,
 1655063121835.92407226562,-0.04467773437,-0.14611816406,-0.97900390625,,,,,,,,
 1655063121870.40893554687,,,,,,1166,-1681,367,216,
 1655063121914.81201171875,,,,,,990,-4146,311,184,
 1655063121951.982421875,,,,,,1054,-6116,1695,-1168,
 1655063121996.20239257812,-0.13366699218,-0.24938964843,-1.04174804687,,,,,,,,
 1655063122000.26123046875,,,,,,1118,-7530,1647,-1088,
 1655063122034.3798828125,,,,,,1110,-8387,1611,-1056,
 1655063122078.5693359375,-0.10400390625,-0.27893066406,-0.9736328125,,,,,,,,
 1655063122082.56713867187,,,,,,1206,-8632,1627,-1024,
 1655063122116.68579101562,,,,,,1374,-8374,1679,-992,
 1655063122154.28344726562,-0.12768554687,-0.21032714843,-0.93139648437,,,,,,,,
 1655063122199.052734375,,,,,,1658,-7749,1789,-960,
 1655063122233.93432617187,-0.19506835937,0.03308105468,-0.94189453125,,,,,,,,
 1655063122281.41967773437,,,,,,1726,-7003,1791,-928,
 1655063122314.01245117187,-0.22741699218,0.24365234375,-0.95935058593,,,,,,,,
 1655063122325.18188476562,,,,,,1774,-6207,1783,-896,
 1655063122363.81713867187,,,,,,1814,-5476,1771,-864,
 1655063122394.21264648437,-0.24890136718,0.38989257812,-0.94970703125,,,,,,,,
 1655063122405.38208007812,,,,,,1854,-4929,1759,-832,
 1655063122446.39770507812,,,,,,1934,-4653,1767,-800,
 1655063122527.87963867187,-0.2724609375,0.51110839843,-0.90771484375,,,,,,,,
 1655063122531.99951171875,,,,,,1966,-4678,1751,-768,
 1655063122554.30786132812,-0.28332519531,0.55517578125,-0.87048339843,,,,,,,,
 1655063122569.84130859375,,,,,,2070,-5412,1739,-704,
 1655063122635.02685546875,-0.29577636718,0.55700683593,-0.84790039062,,,,,,,,
 1655063122652.08618164062,,,,,,2078,-6016,1711,-672,
 1655063122693.681640625,,,,,,2126,-6720,1703,-640,
 1655063122713.85375976562,-0.32653808593,0.55786132812,-0.81750488281,,,,,,,,
 1655063122734.66674804687,,,,,,2150,-7466,1683,-608,
 1655063122775.74340820312,,,,,,2154,-8180,1653,-576,
 1655063122794.23706054687,-0.369140625,0.55505371093,-0.77526855468,,,,,,,,
 1655063122816.94213867187,,,,,,2158,-8768,1623,-544,
 1655063122857.92724609375,,,,,,2202,-9187,1613,-512,
 1655063122874.07104492187,-0.416015625,0.54125976562,-0.74084472656,,,,,,,,
 1655063122899.43115234375,,,,,,2334,-9314,1647,-480,
 1655063122969.65209960937,,,,,,,,,,114
 1655063122972.58178710937,-0.478515625,0.53491210937,-0.71130371093,,,,,,,,
 1655063122981.82861328125,,,,,,2510,-9091,1703,-448,
 1655063122988.57299804687,,,,,,2638,-8380,1735,-416,
 1655063123023.271484375,,,,,,2730,-7188,1749,-384,
 1655063123034.07470703125,-0.54833984375,0.51831054687,-0.69653320312,,,,,,,,
 1655063123063.98193359375,,,,,,2782,-5419,1743,-352,
 1655063123105.21118164062,,,,,,2846,-3021,1743,-320,
 1655063123114.24438476562,-0.61938476562,0.47937011718,-0.70520019531,,,,,,,,
 1655063123146.318359375,,,,,,2894,-24,1735,-288,
 1655063123187.63916015625,,,,,,2986,3526,1749,-256,
 1655063123195.32958984375,-0.65161132812,0.52990722656,-0.62377929687,,,,,,,,
 1655063123228.56323242187,,,,,,3054,7486,1751,-224,
 1655063123272.44750976562,,,,,,3150,11637,1767,-192,
 1655063123277.20825195312,-0.705078125,0.48583984375,-0.64318847656,,,,,,,,
 1655063123310.89965820312,,,,,,3182,15670,1751,-160,
 1655063123354.84497070312,,,,,,3230,19323,1743,-128,
 1655063123393.20556640625,,,,,,3286,22257,1739,-96,
 1655063123437.48657226562,-0.77807617187,0.45678710937,-0.99816894531,,,,,,,,
 1655063123441.54541015625,,,,,,3358,24182,1743,-64,
 1655063123525.01098632812,,,,,,3454,24843,1759,-32,
 1655063123536.8212890625,,,,,,3518,24062,1759,0,
 1655063123542.13134765625,,,,42,71,,,,
 1655063123558.12255859375,,,,,,3518,21753,1759,0,
 1655063123593.9501953125,-0.18041992187,0.35729980468,-1.10339355468,,,,,,,,
 1655063123678.7890625,0.0107421875,0.23327636718,-0.7958984375,,,,,,,,
 1655063123685.07568359375,,,,,,3566,17971,1783,0,
 1655063123722.64282226562,,,,,,3710,12953,1855,0,
 1655063123753.80126953125,-0.1376953125,0.01196289062,-0.70678710937,,,,,,,,
 1655063123764.970703125,,,,,,3894,6970,1947,0,
 1655063123805.25390625,,,,,,4054,410,2027,0,
 1655063123833.97094726562,-0.27368164062,-0.16333007812,-0.84143066406,,,,,,,,
 1655063123846.36108398437,,,,,,4094,-6318,2047,0,
 1655063123887.34619140625,,,,,,4222,-12698,2111,0,
 1655063123913.65234375,-0.03173828125,-0.02722167968,-0.99694824218,,,,,,,,
 1655063123928.69750976562,,,,,,4414,-18316,2207,0,
 1655063123970.07934570312,,,,,,4702,-22785,2351,0,
 1655063123993.91357421875,0.50744628906,0.21557617187,-1.08093261718,,,,,,,,
 1655063124011.1865234375,,,,,,4910,-25890,2455,0,
 1655063124052.04956054687,,,,,,5038,-27497,2519,0,
 1655063124074.96826171875,0.62963867187,0.23291015625,-1.0439453125,,,,,,,,
 1655063124093.4619140625,,,,,,5054,-27655,2527,0,
 1655063124134.38598632812,,,,,,4990,-26513,2495,0,
