 Time,Acc_x,Acc_y,Acc_z,HRM_b,HRM_c,HRM_r,HRM_f,PPG_r,PPG_o,BTHRM
 1655061766452.50122070312,,,,,,6270,2278,3135,0,
 1655061766494.03564453125,,,,,,6302,858,3151,0,
 1655061766504.04541015625,-0.03845214843,-0.11645507812,-1.013671875,,,,,,,,
 1655061766534.65454101562,,,,,,6302,-1017,3151,0,
 1655061766575.79223632812,,,,,,6326,-3094,3163,0,
 1655061766584.33715820312,-0.04504394531,-0.11791992187,-1.0146484375,,,,,,,,
 1655061766617.021484375,,,,,,6334,-5128,3167,0,
 1655061766658.12866210937,,,,,,6358,-6864,3179,0,
 1655061766666.00219726562,-0.04711914062,-0.11450195312,-1.01940917968,,,,,,,,
 1655061766699.35791015625,,,,,,6382,-8096,3191,0,
 1655061766744.00512695312,-0.00842285156,-0.06494140625,-0.93713378906,,,,,,,,
 1655061766781.78588867187,,,,,,6358,-8713,3179,0,
 1655061766825.54809570312,,,,,,6334,-8627,3167,0,
 1655061766851.94580078125,,,,,,,,,,65
 1655061766864.12231445312,,,,,,6318,-7856,3159,0,
 1655061766908.1591796875,0.05871582031,-0.03247070312,-0.92565917968,,,,,,,,
 1655061766912.5537109375,,,,,,6302,-6495,3151,0,
 1655061766946.64184570312,,,,,,6270,-4740,3135,0,
 1655061766990.49560546875,0.00659179687,-0.07458496093,-0.97985839843,,,,,,,,
 1655061766994.92065429687,,,,,,6238,-2830,3119,0,
 1655061767028.85620117187,,,,,,6206,-1027,3103,0,
 1655061767089.49462890625,-0.02087402343,-0.09423828125,-1.00524902343,,,,,,,,
 1655061767152.60498046875,-0.03576660156,-0.10021972656,-1.0107421875,,,,,,,,
 1655061767156.63330078125,,,,,,6110,1236,3055,0,
 1655061767193.37646484375,,,,,,6078,1378,3039,0,
 1655061767223.92456054687,-0.04370117187,-0.10522460937,-1.01232910156,,,,,,,,
 1655061767236.83349609375,,,,,,6038,782,3019,0,
 1655061767241.86889648437,,,,64,100,,,,
 1655061767276.0791015625,,,,,,5998,-523,2999,0,
 1655061767304.12475585937,-0.04541015625,-0.10852050781,-1.01611328125,,,,,,,,
 1655061767317.76611328125,,,,,,5982,-2363,2991,0,
 1655061767358.04931640625,,,,,,6046,-4488,3023,0,
 1655061767383.9892578125,-0.041015625,-0.1142578125,-1.01684570312,,,,,,,,
 1655061767399.46166992187,,,,,,6110,-6633,3055,0,
 1655061767440.3857421875,,,,,,6142,-8534,3071,0,
 1655061767463.88427734375,-0.03991699218,-0.11584472656,-1.02038574218,,,,,,,,
 1655061767482.10327148437,,,,,,6142,-9937,3071,0,
 1655061767522.72216796875,,,,,,6190,-10622,3095,0,
 1655061767544.267578125,-0.04150390625,-0.11352539062,-1.02197265625,,,,,,,,
 1655061767564.19555664062,,,,,,6142,-10521,3071,0,
 1655061767605.08911132812,,,,,,6142,-9597,3071,0,
 1655061767623.94897460937,-0.04223632812,-0.12072753906,-1.02270507812,,,,,,,,
 1655061767646.6845703125,,,,,,6142,-7922,3071,0,
 1655061767687.42553710937,,,,,,6142,-5700,3071,0,
 1655061767704.1796875,-0.04260253906,-0.1240234375,-1.03039550781,,,,,,,,
 1655061767769.853515625,,,,,,6142,-3192,3071,0,
 1655061767784.34936523437,-0.03967285156,-0.11730957031,-1.03393554687,,,,,,,,
 1655061767811.08276367187,,,,,,6142,-691,3071,0,
 1655061767859.54467773437,,,,,,,,,,65
 1655061767865.25146484375,,,,,,6142,1493,3071,0,
 1655061767870.1953125,-0.04345703125,-0.1162109375,-1.029296875,,,,,,,,
 1655061767893.6328125,,,,,,6126,3113,3063,0,
 1655061767934.80102539062,,,,,,6110,3950,3055,0,
 1655061767943.8037109375,-0.04528808593,-0.11779785156,-1.03039550781,,,,,,,,
 1655061767976.45751953125,,,,,,6078,3895,3039,0,
 1655061767981.67602539062,,,,65,100,,,,
 1655061768016.86279296875,,,,,,6062,2976,3031,0,
 1655061768024.736328125,-0.03771972656,-0.11755371093,-1.02770996093,,,,,,,,
 1655061768096.36108398437,,,,,,6014,1320,3007,0,
 1655061768110.91796875,,,,,,6014,-920,3007,0,
 1655061768140.88623046875,,,,,,5982,-3437,2991,0,
 1655061768184.16015625,,,,,,5950,-5899,2975,0,
 1655061768222.70385742187,,,,,,5886,-7997,2943,0,
 1655061768266.64916992187,0.08276367187,-0.04272460937,-0.95129394531,,,,,,,,
 1655061768270.9521484375,,,,,,5878,-9455,2939,0,
 1655061768305.19287109375,,,,,,5870,-10106,2935,0,
 1655061768348.955078125,0.02099609375,-0.08044433593,-0.98559570312,,,,,,,,
 1655061768353.31909179687,,,,,,5918,-9849,2959,0,
 1655061768387.6513671875,,,,,,5950,-8718,2975,0,
 1655061768423.72314453125,-0.01306152343,-0.09594726562,-1.00061035156,,,,,,,,
 1655061768469.62158203125,,,,,,6014,-6815,3007,0,
 1655061768503.95385742187,-0.0341796875,-0.10107421875,-1.00854492187,,,,,,,,
 1655061768551.98852539062,,,,,,5982,-4418,2991,0,
 1655061768583.75732421875,-0.03784179687,-0.10546875,-1.01025390625,,,,,,,,
 1655061768595.84228515625,,,,,,5966,-1797,2983,0,
 1655061768634.44702148437,,,,,,5950,736,2975,0,
 1655061768663.68286132812,-0.03845214843,-0.10766601562,-1.01098632812,,,,,,,,
 1655061768676.19506835937,,,,,,5950,2869,2975,0,
 1655061768716.66137695312,,,,,,5950,4353,2975,0,
 1655061768743.91357421875,-0.03979492187,-0.11596679687,-1.01452636718,,,,,,,,
 1655061768758.31787109375,,,,,,5934,5004,2967,0,
 1655061768799.69970703125,,,,,,5886,4705,2943,0,
 1655061768804.85717773437,,,,66,96,,,,
 1655061768823.71704101562,-0.04772949218,-0.12707519531,-1.01928710937,,,,,,,,
 1655061768855.63842773437,,,,,,,,,,65
 1655061768858.41552734375,,,,,,5870,3499,2935,0,
 1655061768881.36474609375,,,,,,5838,1515,2919,0,
 1655061768903.642578125,-0.05456542968,-0.125,-1.021484375,,,,,,,,
 1655061768923.08227539062,,,,,,5790,-1048,2895,0,
 1655061768964.09790039062,,,,,,5758,-3866,2879,0,
 1655061768983.99536132812,-0.05249023437,-0.12084960937,-1.01928710937,,,,,,,,
 1655061769005.29663085937,,,,,,5742,-6635,2871,0,
 1655061769096.8798828125,-0.05053710937,-0.11791992187,-1.01733398437,,,,,,,,
 1655061769100.93872070312,,,,,,5694,-9068,2847,0,
 1655061769128.52661132812,,,,,,5614,-11994,2807,0,
 1655061769144.67041015625,-0.04858398437,-0.11437988281,-1.0205078125,,,,,,,,
 1655061769170.18310546875,,,,,,5566,-12176,2783,0,
 1655061769210.771484375,,,,,,5590,-11416,2795,0,
 1655061769224.10766601562,-0.04760742187,-0.11389160156,-1.02099609375,,,,,,,,
 1655061769252.18383789062,,,,,,5630,-9791,2815,0,
 1655061769292.98583984375,,,,,,5694,-7488,2847,0,
 1655061769303.63647460937,-0.05346679687,-0.11352539062,-1.02233886718,,,,,,,,
 1655061769334.55078125,,,,,,5718,-4759,2859,0,
 1655061769375.322265625,,,,,,5694,-1911,2847,0,
 1655061769383.77563476562,-0.05407714843,-0.11547851562,-1.03125,,,,,,,,
 1655061769416.55151367187,,,,,,5694,783,2847,0,
 1655061769457.65869140625,,,,,,5678,3068,2839,0,
 1655061769465.41015625,-0.04711914062,-0.11328125,-1.03015136718,,,,,,,,
 1655061769499.04052734375,,,,,,5662,4709,2831,0,
 1655061769542.77221679687,,,,,,5662,5570,2831,0,
 1655061769547.86865234375,-0.154296875,-0.14978027343,-1.14331054687,,,,,,,,
 1655061769581.43798828125,,,,,,5678,5572,2839,0,
 1655061769625.810546875,,,,,,5630,4717,2815,0,
 1655061769630.90698242187,,,,67,96,,,,
 1655061769663.71337890625,,,,,,5630,3135,2815,0,
 1655061769707.56713867187,-0.13610839843,-0.20544433593,-1.14514160156,,,,,,,,
 1655061769711.77856445312,,,,,,5598,954,2799,0,
 1655061769746.08032226562,,,,,,5566,-1619,2783,0,
 1655061769790.361328125,-0.08642578125,-0.15625,-1.07385253906,,,,,,,,
 1655061769794.42016601562,,,,,,5534,-4332,2767,0,
 1655061769828.41674804687,,,,,,5502,-6962,2751,0,
 1655061769852.22045898437,,,,,,,,,,65
 1655061769863.7255859375,-0.06103515625,-0.13330078125,-1.04174804687,,,,,,,,
 1655061769910.57006835937,,,,,,5430,-9292,2715,0,
 1655061769944.68872070312,-0.05249023437,-0.12060546875,-1.03503417968,,,,,,,,
 1655061769992.90649414062,,,,,,5358,-11139,2679,0,
 1655061770023.54614257812,-0.0537109375,-0.11779785156,-1.02880859375,,,,,,,,
 1655061770035.75317382812,,,,,,5342,-12359,2671,0,
 1655061770102.58666992187,,,,,,5374,-12861,2687,0,
 1655061770120.22583007812,,,,,,5454,-12586,2727,0,
 1655061770157.79296875,,,,,,5502,-11568,2751,0,
 1655061770183.7939453125,-0.04711914062,-0.1103515625,-1.02062988281,,,,,,,,
 1655061770199.08325195312,,,,,,5534,-9902,2767,0,
 1655061770239.91577148437,,,,,,5534,-7718,2767,0,
 1655061770263.47534179687,-0.04284667968,-0.11401367187,-1.01904296875,,,,,,,,
 1655061770322.25219726562,,,,,,5534,-5176,2767,0,
 1655061770343.828125,-0.04077148437,-0.11987304687,-1.01098632812,,,,,,,,
 1655061770363.7255859375,,,,,,5534,-2465,2767,0,
